t,g20,g45,g50,g60,g65,g80
0,49.0,30.0,26.0,18.0,15.0,10.0
1,50.0,31.0,27.0,19.0,16.0,11.0
2,51.0,32.0,28.0,20.0,17.0,12.0
3,52.0,33.0,29.0,21.0,18.0,14.0
4,53.0,34.0,30.0,22.0,20.0,15.0
5,54.0,36.0,31.0,24.0,21.0,16.0
6,56.0,37.0,33.0,25.0,22.0,17.0
7,57.0,38.0,34.0,26.0,24.0,19.0
8,58.0,39.0,35.0,28.0,25.0,20.0
9,59.0,41.0,37.0,29.0,27.0,22.0
10,60.0,42.0,38.0,31.0,28.0,23.0
11,61.0,44.0,40.0,33.0,30.0,25.0
12,63.0,45.0,41.0,34.0,32.0,26.0
13,64.0,47.0,43.0,36.0,33.0,28.0
14,65.0,49.0,45.0,38.0,35.0,29.0
15,66.0,50.0,47.0,40.0,37.0,31.0
16,68.0,52.0,48.0,42.0,39.0,33.0
17,69.0,54.0,51.0,44.0,41.0,34.0
18,71.0,56.0,53.0,46.0,43.0,36.0
19,72.0,59.0,55.0,48.0,45.0,38.0
20,73.0,61.0,58.0,51.0,47.0,39.0
21,75.0,64.0,60.0,53.0,50.0,40.0
22,76.0,66.0,63.0,56.0,52.0,42.0
23,78.0,69.0,66.0,58.0,54.0,43.0
24,79.0,72.0,69.0,61.0,57.0,45.0
25,81.0,75.0,72.0,64.0,59.0,46.0
26,82.0,79.0,75.0,67.0,62.0,47.0
27,84.0,82.0,79.0,70.0,64.0,48.0
28,85.0,85.0,82.0,73.0,67.0,50.0
29,87.0,89.0,86.0,76.0,70.0,51.0
30,89.0,92.0,89.0,79.0,73.0,53.0
31,90.0,96.0,93.0,82.0,75.0,54.0
32,92.0,100.0,96.0,86.0,78.0,56.0
33,94.0,103.0,100.0,89.0,81.0,57.0
34,95.0,107.0,104.0,92.0,84.0,59.0
35,97.0,111.0,108.0,96.0,87.0,60.0
36,99.0,115.0,112.0,99.0,91.0,62.0
37,100.0,119.0,116.0,103.0,94.0,64.0
38,102.0,123.0,120.0,107.0,97.0,66.0
39,104.0,127.0,124.0,110.0,100.0,67.0
40,106.0,131.0,128.0,114.0,104.0,69.0
41,108.0,135.0,132.0,118.0,107.0,71.0
42,110.0,139.0,136.0,122.0,111.0,73.0
43,111.0,143.0,140.0,126.0,114.0,75.0
44,113.0,147.0,145.0,130.0,118.0,78.0
45,115.0,151.0,149.0,134.0,122.0,80.0
46,117.0,155.0,153.0,138.0,126.0,82.0
47,119.0,160.0,158.0,142.0,129.0,84.0
48,121.0,164.0,162.0,146.0,133.0,87.0
49,123.0,168.0,167.0,151.0,137.0,89.0
50,125.0,173.0,171.0,155.0,141.0,92.0
51,127.0,177.0,176.0,159.0,145.0,94.0
52,129.0,182.0,180.0,164.0,150.0,97.0
53,131.0,186.0,185.0,168.0,154.0,100.0
54,133.0,191.0,190.0,173.0,158.0,102.0
