,geo,prob,age,race_asian,race_black,race_mix,race_native_american,race_native_pacific,race_other,race_white_hispanic,race_white_non_hispanic,sex_female,sex_male
0,Alabama,0.0011542581867928176,0.0,0,0,0,0,0,0,1,0,0,1
1,Alabama,0.001183686865776204,5.0,0,0,0,0,0,0,1,0,0,1
2,Alabama,0.0013451358685322814,10.0,0,0,0,0,0,0,1,0,0,1
3,Alabama,0.0006130974788205476,15.0,0,0,0,0,0,0,1,0,0,1
4,Alabama,0.0003893168990510477,18.0,0,0,0,0,0,0,1,0,0,1
5,Alabama,0.0008861302227219648,20.0,0,0,0,0,0,0,1,0,0,1
6,Alabama,0.0007731159207927105,25.0,0,0,0,0,0,0,1,0,0,1
7,Alabama,0.0009926048182104666,30.0,0,0,0,0,0,0,1,0,0,1
8,Alabama,0.001648006023069632,35.0,0,0,0,0,0,0,1,0,0,1
9,Alabama,0.001243157321221797,45.0,0,0,0,0,0,0,1,0,0,1
10,Alabama,0.0008164414759626959,55.0,0,0,0,0,0,0,1,0,0,1
11,Alabama,0.0004684064738188984,65.0,0,0,0,0,0,0,1,0,0,1
12,Alabama,9.727813330619356e-05,75.0,0,0,0,0,0,0,1,0,0,1
13,Alabama,4.25080918648913e-05,85.0,0,0,0,0,0,0,1,0,0,1
14,Alabama,0.0014046063239778746,0.0,0,0,0,0,0,0,1,0,1,0
15,Alabama,0.0012120937156282225,5.0,0,0,0,0,0,0,1,0,1,0
16,Alabama,0.0012261949576410952,10.0,0,0,0,0,0,0,1,0,1,0
17,Alabama,0.000540751976319723,15.0,0,0,0,0,0,0,1,0,1,0
18,Alabama,0.0004126146032462285,18.0,0,0,0,0,0,0,1,0,1,0
19,Alabama,0.0008554753487809374,20.0,0,0,0,0,0,0,1,0,1,0
20,Alabama,0.0007091494171691,25.0,0,0,0,0,0,0,1,0,1,0
21,Alabama,0.0007577884838221968,30.0,0,0,0,0,0,0,1,0,1,0
22,Alabama,0.001519255552517317,35.0,0,0,0,0,0,0,1,0,1,0
23,Alabama,0.0009897436966426374,45.0,0,0,0,0,0,0,1,0,1,0
24,Alabama,0.0007287685364913576,55.0,0,0,0,0,0,0,1,0,1,0
25,Alabama,0.0003705152430338843,65.0,0,0,0,0,0,0,1,0,1,0
26,Alabama,0.0001957824615700282,75.0,0,0,0,0,0,0,1,0,1,0
27,Alabama,4.4756115953899975e-05,85.0,0,0,0,0,0,0,1,0,1,0
28,Alabama,0.009020911937539264,0.0,0,1,0,0,0,0,0,0,0,1
29,Alabama,0.00919748401143958,5.0,0,1,0,0,0,0,0,0,0,1
30,Alabama,0.009503624019197309,10.0,0,1,0,0,0,0,0,0,0,1
31,Alabama,0.005789275126676157,15.0,0,1,0,0,0,0,0,0,0,1
32,Alabama,0.004165588636933074,18.0,0,1,0,0,0,0,0,0,0,1
33,Alabama,0.010037018825771184,20.0,0,1,0,0,0,0,0,0,0,1
34,Alabama,0.010187432073908492,25.0,0,1,0,0,0,0,0,0,0,1
35,Alabama,0.008312784349501532,30.0,0,1,0,0,0,0,0,0,0,1
36,Alabama,0.01516414867532115,35.0,0,1,0,0,0,0,0,0,0,1
37,Alabama,0.014326861885078555,45.0,0,1,0,0,0,0,0,0,0,1
38,Alabama,0.014748059853028272,55.0,0,1,0,0,0,0,0,0,0,1
39,Alabama,0.00921832932571948,65.0,0,1,0,0,0,0,0,0,0,1
40,Alabama,0.0032835457307365794,75.0,0,1,0,0,0,0,0,0,0,1
41,Alabama,0.0008947135874254525,85.0,0,1,0,0,0,0,0,0,0,1
42,Alabama,0.008675329325310748,0.0,0,1,0,0,0,0,0,0,1,0
43,Alabama,0.009085491538641695,5.0,0,1,0,0,0,0,0,0,1,0
44,Alabama,0.008954901775652918,10.0,0,1,0,0,0,0,0,0,1,0
45,Alabama,0.005535657136270724,15.0,0,1,0,0,0,0,0,0,1,0
46,Alabama,0.004509740688377674,18.0,0,1,0,0,0,0,0,0,1,0
47,Alabama,0.010619052698998158,20.0,0,1,0,0,0,0,0,0,1,0
48,Alabama,0.010792763651330646,25.0,0,1,0,0,0,0,0,0,1,0
49,Alabama,0.009660168242122822,30.0,0,1,0,0,0,0,0,0,1,0
50,Alabama,0.01872501883231089,35.0,0,1,0,0,0,0,0,0,1,0
51,Alabama,0.0177287354292275,45.0,0,1,0,0,0,0,0,0,1,0
52,Alabama,0.01837044412372634,55.0,0,1,0,0,0,0,0,0,1,0
53,Alabama,0.011750421913248342,65.0,0,1,0,0,0,0,0,0,1,0
54,Alabama,0.005329247651734473,75.0,0,1,0,0,0,0,0,0,1,0
55,Alabama,0.002358381635196373,85.0,0,1,0,0,0,0,0,0,1,0
56,Alabama,6.989311258554243e-05,0.0,0,0,0,1,0,0,0,0,0,1
57,Alabama,5.722243135658444e-05,5.0,0,0,0,1,0,0,0,0,0,1
58,Alabama,0.0001226194957641095,10.0,0,0,0,1,0,0,0,0,0,1
59,Alabama,0.00011791908175981865,15.0,0,0,0,1,0,0,0,0,0,1
60,Alabama,2.9837410635933317e-05,18.0,0,0,0,1,0,0,0,0,0,1
61,Alabama,0.000186994731040267,20.0,0,0,0,1,0,0,0,0,0,1
62,Alabama,0.0002587271360622711,25.0,0,0,0,1,0,0,0,0,0,1
63,Alabama,0.00018065939042578803,30.0,0,0,0,1,0,0,0,0,0,1
64,Alabama,0.0003466044413598829,35.0,0,0,0,1,0,0,0,0,0,1
65,Alabama,0.0003306639069105487,45.0,0,0,0,1,0,0,0,0,0,1
66,Alabama,0.00038318592426284223,55.0,0,0,0,1,0,0,0,0,0,1
67,Alabama,0.0002137666542820976,65.0,0,0,0,1,0,0,0,0,0,1
68,Alabama,8.992096356034698e-05,75.0,0,0,0,1,0,0,0,0,0,1
69,Alabama,3.86251411656945e-05,85.0,0,0,0,1,0,0,0,0,0,1
70,Alabama,0.00011383176523434834,0.0,0,0,0,1,0,0,0,0,1,0
71,Alabama,0.0001389687618659908,5.0,0,0,0,1,0,0,0,0,1,0
72,Alabama,0.00016083590527725698,10.0,0,0,0,1,0,0,0,0,1,0
73,Alabama,0.00011934964254373327,15.0,0,0,0,1,0,0,0,0,1,0
74,Alabama,9.91174257426552e-05,18.0,0,0,0,1,0,0,0,0,1,0
75,Alabama,0.0001804550245995145,20.0,0,0,0,1,0,0,0,0,1,0
